0 [main] INFO org.apache.hadoop.yarn.client.RMProxy  - Connecting to ResourceManager at ip-172-31-35-205.ec2.internal/172.31.35.205:8032
1710 [main] INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat  - Total input paths to process : 4
1720 [main] INFO com.hadoop.compression.lzo.GPLNativeCodeLoader  - Loaded native gpl library
1722 [main] INFO com.hadoop.compression.lzo.LzoCodec  - Successfully loaded & initialized native-lzo library [hadoop-lzo rev 60b8618a21bca805756fb1bc393c18c2512e4fc4]
2474 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - number of splits:106
2623 [main] INFO org.apache.hadoop.mapreduce.JobSubmitter  - Submitting tokens for job: job_1488089367153_0001
2968 [main] INFO org.apache.hadoop.yarn.client.api.impl.YarnClientImpl  - Submitted application application_1488089367153_0001
3008 [main] INFO org.apache.hadoop.mapreduce.Job  - The url to track the job: http://ip-172-31-35-205.ec2.internal:20888/proxy/application_1488089367153_0001/
3009 [main] INFO org.apache.hadoop.mapreduce.Job  - Running job: job_1488089367153_0001
13346 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488089367153_0001 running in uber mode : false
1089917 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 54%
1090919 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 56%
1091922 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 66%
1092924 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 72%
1093931 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 87%
1094934 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 90%
1095936 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 93%
1096939 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 98%
1097941 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 99%
1098944 [main] INFO org.apache.hadoop.mapreduce.Job  -  map 100% reduce 100%
1098947 [main] INFO org.apache.hadoop.mapreduce.Job  - Job job_1488089367153_0002 completed successfully
1098975 [main] INFO org.apache.hadoop.mapreduce.Job  - Counters: 53
	File System Counters
		FILE: Number of bytes read=2357134038
		FILE: Number of bytes written=3536445426
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=1477596371
		HDFS: Number of bytes written=1477593597
		HDFS: Number of read operations=133
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=38
	Job Counters 
		Killed map tasks=2
		Killed reduce tasks=1
		Launched map tasks=20
		Launched reduce tasks=20
		Data-local map tasks=18
		Rack-local map tasks=2
		Total time spent by all maps in occupied slots (ms)=48913200
		Total time spent by all reduces in occupied slots (ms)=54915648
		Total time spent by all map tasks (ms)=1019025
		Total time spent by all reduce tasks (ms)=572038
		Total vcore-milliseconds taken by all map tasks=1019025
		Total vcore-milliseconds taken by all reduce tasks=572038
		Total megabyte-milliseconds taken by all map tasks=1565222400
		Total megabyte-milliseconds taken by all reduce tasks=1757300736
